labels,data
8,أَنا الفقير وباللَه العظيم غني # لئن فقدتك في أَشياء طلتُ بها
10,وَلوعاً بِيُمنَى نَمْنَمَتْها حَدِيقَةٌ # نَزْهَدُ أَحْدَاق الوَرَى فِي الحَدَائِقِ
11,فيا منْ لم أزلْ أحظى لديه # بفضلٍ جامعٍ بابَ الزِّياده
9,وَسَلامٌ عَلَى ضَرِيحِكَ مَا أَهْ # دَتْ شَذَاهَا حَدِيقَةٌ غَلْبَاءُ
8,أمِنْتُ فقري لما قُلتُ عن ثِقَةٍ # أنْ لا جواد سوى السلطان مسعودِ
8,كأنه بضمير الركضِ يضْربهُ # يدنو عليه بعيد الأرض مُرتكضاً
7,عَزَّ مَن أَمدحُهُ في رَجبٍ # فَأَنا الأَخْرَسُ والشَّهْرُ الأَصَمْ
11,إِذا ما عاجِزٌ رَثَّت قُواهُ # رَأى وَطءَ الفِراشِ لَهُ فَناما
6,فإنما أنا ليثٌ # عادٍ وأنت كُليبُ
13,لم نرضَ ما وفى من الأماني # حتَّى شفعناه بصيدٍ ثاني
8,غيثاً وغوثاً وأنواراً بملّتنا # أنتم نجوم سماء يستضاء بها
10,فَما وَجدُ أَعرابيَّةٍ قَذَفَت بِها # صُروفُ النَوى مِن حَيثُ لَم تَكُ ظَنَّتِ
10,وَما طِبتُ نَفساً عَنكِ لَمّا هَجَرتِني # وَلَيسَ سُكوتي عَن سُلُوٍّ وَلا صَبرِ
0,شكراً لها في الجودِ مخفية # يبسط ضيف الباب فيها يديه
11,وَإِن أَرغَمتَ صاحِبَةً بِضَرٍّ # فَأَجدِر أَن تَروعَ بِمُعرِماتِ
8,ولا ثلاثة أعوام بهم سننا # قد كان من ذهنه يفتي مسائله
0,فَصِرتُ كَالعَيرِ غَدا طَالِباً # قِرناً فَلَم يَرجَع بِأُذنَينِ
7,ولريِّ السُّمْرِ والبيضِ الظُّبي # من دَمِ الأبْطالِ في يومِ النِّزالِ
1,من للمُسائلِ في المسائل بعدَه # عُرْفاً ومعرفةً بقدْرِ مُرادِه
7,إن تكن خانت وعقَّت حبنا # فأضِفها للجراحات الأخر
8,هناك دهرك إذ مجموعهُ رَجَبُ # وما برحتَ مُطاع الأمرُ ما طلعت
4,أسكرني من هواه كأس طلىً # من خمرة الوجنتين معتصرَه
